Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,01/02/2021,15:00,Arsenal,Man City,2,1,H
E0,01/02/2021,20:00,Fulham,Liverpool,1,0,H
E0,01/02/2021,16:30,West Ham,Sheffield United,0,2,A
E0,01/02/2021,14:00,Liverpool,Leeds,1,0,H
E0,01/03/2021,14:00,West Brom,Man City,2,3,A
E0,01/03/2021,15:00,Man United,Wolves,1,3,A
E0,01/03/2021,20:00,Sheffield United,West Brom,0,3,A
E0,01/05/2021,15:00,Arsenal,Aston Villa,0,1,A
E0,01/05/2021,12:30,Fulham,Newcastle,3,1,H
E0,01/10/2020,15:00,Leicester,West Ham,2,0,H
E0,01/11/2020,14:00,Man City,Newcastle,3,3,D
E0,01/11/2020,16:30,West Ham,Man City,3,0,H
E0,01/11/2020,17:30,Man United,Newcastle,1,2,A
E0,01/12/2020,19:45,Burnley,Brighton,2,0,H
E0,01/12/2020,16:30,Aston Villa,Tottenham,1,0,H
E0,01/12/2020,20:00,Fulham,Burnley,2,1,H
E0,02/01/2021,15:00,Fulham,Sheffield United,1,2,A
E0,02/01/2021,17:30,West Brom,Leicester,1,0,H
E0,02/02/2021,20:00,Man United,Aston Villa,0,0,D
E0,02/02/2021,16:30,Leeds,Man City,4,0,H
E0,02/03/2021,15:00,Arsenal,Leicester,1,3,A
E0,02/03/2021,14:00,Wolves,Chelsea,0,3,A
E0,02/05/2021,15:00,Leicester,Brighton,4,3,H
E0,02/05/2021,14:00,Everton,Liverpool,4,0,H
E0,02/05/2021,12:30,Brighton,Everton,0,2,A
E0,02/11/2020,17:30,Everton,West Ham,3,1,H
E0,02/11/2020,14:00,Leicester,Man City,3,3,D
E0,02/11/2020,20:00,Everton,Southampton,0,0,D
E0,02/11/2020,16:30,Leeds,West Brom,3,3,D
E0,02/12/2020,19:45,Southampton,Aston Villa,3,0,H
E0,03/01/2021,14:00,Tottenham,Man United,0,1,A
E0,03/01/2021,16:30,Burnley,Chelsea,0,0,D
E0,03/01/2021,15:00,Liverpool,Newcastle,1,2,A
E0,03/03/2021,19:45,Leeds,Crystal Palace,2,2,D
E0,03/04/2021,17:30,West Brom,Chelsea,3,2,H
E0,03/04/2021,12:30,Wolves,Tottenham,1,3,A
E0,03/04/2021,15:00,Chelsea,West Brom,3,2,H
E0,03/05/2021,15:00,Crystal Palace,Southampton,1,1,D
E0,03/05/2021,14:00,Aston Villa,Sheffield United,4,3,H
E0,03/10/2020,12:30,West Ham,Aston Villa,3,2,H
E0,03/10/2020,15:00,Aston Villa,Fulham,3,2,H
E0,03/10/2020,17:30,Sheffield United,Wolves,3,1,H
E0,03/11/2020,19:45,Crystal Palace,Wolves,2,0,H
E0,03/12/2020,19:45,Aston Villa,Brighton,1,3,A
E0,04/01/2021,16:30,Southampton,Sheffield United,4,3,H
E0,04/01/2021,15:00,Man United,Southampton,3,3,D
E0,04/04/2021,15:00,Burnley,Tottenham,4,1,H
E0,04/05/2021,15:00,Newcastle,Wolves,4,3,H
E0,04/10/2020,15:00,Man City,Arsenal,4,1,H
E0,04/10/2020,16:30,Leeds,Chelsea,0,2,A
E0,04/11/2020,19:45,Man City,Chelsea,2,0,H
E0,05/01/2021,15:00,Everton,Burnley,1,3,A
E0,05/04/2021,15:00,West Ham,Leeds,1,1,D
E0,05/04/2021,20:00,Crystal Palace,Arsenal,2,3,A
E0,05/05/2021,19:45,Fulham,Everton,4,3,H
E0,05/05/2021,15:00,Crystal Palace,Aston Villa,0,1,A
E0,05/10/2020,15:00,Tottenham,West Ham,1,2,A
E0,05/10/2020,16:30,Crystal Palace,Chelsea,1,3,A
E0,05/11/2020,19:45,Aston Villa,West Brom,2,1,H
E0,05/12/2020,15:00,Brighton,Aston Villa,0,2,A
E0,05/12/2020,12:30,Man United,Everton,3,3,D
E0,06/01/2021,19:45,Liverpool,Leicester,2,3,A
E0,06/02/2021,15:00,Sheffield United,Burnley,0,0,D
E0,06/02/2021,17:30,Liverpool,Man United,0,0,D
E0,06/02/2021,12:30,Brighton,Southampton,0,3,A
E0,06/03/2021,17:30,Crystal Palace,Leicester,1,0,H
E0,06/03/2021,15:00,Tottenham,Everton,2,3,A
E0,06/04/2021,15:00,Everton,Chelsea,1,1,D
E0,06/05/2021,19:45,Crystal Palace,Leeds,2,0,H
E0,06/10/2020,15:00,Man City,West Brom,2,3,A
E0,06/10/2020,19:45,Burnley,Arsenal,0,2,A
E0,06/12/2020,14:00,Man United,Crystal Palace,3,1,H
E0,06/12/2020,16:30,Leicester,Chelsea,4,3,H
E0,07/01/2021,19:45,Leeds,Sheffield United,0,1,A
E0,07/02/2021,17:30,Arsenal,Leeds,3,2,H
E0,07/02/2021,15:00,Everton,Fulham,4,2,H
E0,07/02/2021,14:00,Southampton,Leicester,1,0,H
E0,07/03/2021,15:00,Brighton,West Brom,1,0,H
E0,07/03/2021,16:30,Newcastle,West Ham,0,0,D
E0,07/04/2021,15:00,Sheffield United,Leicester,0,1,A
E0,07/04/2021,19:45,Wolves,Fulham,4,3,H
E0,07/10/2020,15:00,Leeds,Liverpool,3,1,H
E0,07/11/2020,17:30,Leeds,Burnley,1,0,H
E0,07/11/2020,15:00,Newcastle,Leicester,4,3,H
E0,07/12/2020,16:30,Arsenal,Tottenham,2,3,A
E0,07/12/2020,20:00,Brighton,Crystal Palace,1,3,A
E0,08/02/2021,15:00,Southampton,Chelsea,3,1,H
E0,08/02/2021,14:00,Southampton,Brighton,0,2,A
E0,08/03/2021,16:30,Chelsea,Aston Villa,2,0,H
E0,08/03/2021,15:00,Aston Villa,Liverpool,3,1,H
E0,08/04/2021,15:00,Arsenal,Newcastle,1,2,A
E0,08/05/2021,15:00,Arsenal,Brighton,1,0,H
E0,08/05/2021,17:30,West Brom,Everton,3,1,H
E0,08/11/2020,15:00,Tottenham,Aston Villa,2,0,H
E0,08/11/2020,16:30,Fulham,Brighton,1,1,D
E0,08/11/2020,14:00,Sheffield United,Everton,2,3,A
E0,09/01/2021,12:30,Aston Villa,Southampton,4,3,H
E0,09/01/2021,17:30,Tottenham,Arsenal,3,1,H
E0,09/01/2021,15:00,Brighton,Leicester,4,0,H
E0,09/01/2021,12:30,Burnley,Leeds,1,0,H
E0,09/01/2021,15:00,Tottenham,Liverpool,2,1,H
E0,09/02/2021,14:00,Chelsea,Fulham,4,0,H
E0,09/02/2021,19:45,Leicester,Fulham,1,3,A
E0,09/03/2021,15:00,Fulham,Man City,3,3,D
E0,09/04/2021,15:00,Brighton,Liverpool,1,0,H
E0,09/05/2021,15:00,Everton,Crystal Palace,1,3,A
E0,09/05/2021,14:00,Aston Villa,Burnley,3,0,H
E0,09/05/2021,16:30,Man United,Leeds,2,1,H
E0,09/05/2021,16:30,Tottenham,Brighton,4,0,H
E0,09/05/2021,14:00,Southampton,West Ham,3,2,H
E0,09/10/2020,20:00,Fulham,Wolves,2,3,A
E0,09/11/2020,20:00,Arsenal,Fulham,4,3,H
E0,09/11/2020,15:00,Burnley,Aston Villa,4,0,H
E0,09/12/2020,19:45,Liverpool,Southampton,2,2,D
E0,10/01/2021,15:00,West Ham,West Brom,0,2,A
E0,10/01/2021,17:30,Chelsea,Liverpool,4,1,H
E0,10/01/2021,14:00,West Ham,Fulham,3,3,D
E0,10/01/2021,16:30,Aston Villa,West Ham,2,1,H
E0,10/01/2021,15:00,West Ham,Chelsea,3,3,D
E0,10/03/2021,15:00,Burnley,Man United,1,1,D
E0,10/04/2021,12:30,Man City,Brighton,1,1,D
E0,10/04/2021,15:00,Brighton,Sheffield United,3,0,H
E0,10/05/2021,16:30,Man United,Burnley,0,1,A
E0,10/05/2021,14:00,Brighton,Chelsea,1,1,D
E0,10/05/2021,16:30,Aston Villa,Arsenal,0,0,D
E0,10/10/2020,15:00,Leeds,West Ham,1,0,H
E0,10/10/2020,12:30,West Ham,Arsenal,1,1,D
E0,10/10/2020,17:30,Leicester,Tottenham,2,3,A
E0,10/11/2020,15:00,Man United,Fulham,4,1,H
E0,11/01/2021,15:00,Crystal Palace,Tottenham,1,1,D
E0,11/03/2021,15:00,West Brom,Man United,3,1,H
E0,11/04/2021,14:00,Sheffield United,Newcastle,1,0,H
E0,11/04/2021,15:00,West Brom,Southampton,3,1,H
E0,11/04/2021,16:30,Wolves,Newcastle,4,2,H
E0,11/05/2021,16:30,Crystal Palace,Man City,1,1,D
E0,11/05/2021,14:00,West Ham,Newcastle,3,1,H
E0,11/10/2020,16:30,Leeds,Fulham,2,1,H
E0,11/10/2020,15:00,Southampton,West Brom,1,2,A
E0,11/10/2020,14:00,Fulham,Tottenham,1,0,H
E0,11/11/2020,19:45,Liverpool,Fulham,0,0,D
E0,12/01/2021,19:45,Burnley,Crystal Palace,4,0,H
E0,12/01/2021,15:00,Tottenham,Fulham,3,0,H
E0,12/03/2021,15:00,Leicester,Southampton,3,2,H
E0,12/04/2021,16:30,Brighton,Wolves,4,1,H
E0,12/04/2021,15:00,Newcastle,Sheffield United,0,0,D
E0,12/05/2021,19:45,Man City,Southampton,4,1,H
E0,12/09/2020,15:00,Brighton,Fulham,1,3,A
E0,12/09/2020,17:30,West Brom,Burnley,3,3,D
E0,12/10/2020,15:00,Wolves,Everton,0,1,A
E0,12/10/2020,20:00,Leeds,Arsenal,4,1,H
E0,12/12/2020,15:00,Burnley,West Brom,4,3,H
E0,12/12/2020,17:30,Brighton,Leeds,4,3,H
E0,13/02/2021,17:30,Crystal Palace,Brighton,1,0,H
E0,13/02/2021,15:00,West Ham,Liverpool,2,1,H
E0,13/03/2021,15:00,Man City,Man United,3,3,D
E0,13/04/2021,15:00,Burnley,Fulham,4,1,H
