Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,10/08/2018,20:00,Man United,Leicester,2,1,H
E0,11/08/2018,12:30,Newcastle,Tottenham,1,2,A
E0,11/08/2018,15:00,Bournemouth,Cardiff,2,0,H
E0,11/08/2018,15:00,Fulham,Crystal Palace,0,2,A
E0,11/08/2018,15:00,Huddersfield,Chelsea,0,3,A
E0,11/08/2018,15:00,Watford,Brighton,2,0,H
E0,11/08/2018,17:30,Wolves,Everton,2,2,D
E0,12/08/2018,13:30,Liverpool,West Ham,4,0,H
E0,12/08/2018,13:30,Southampton,Burnley,0,0,D
E0,12/08/2018,16:00,Arsenal,Man City,0,2,A
E0,18/08/2018,12:30,Cardiff,Newcastle,0,0,D
E0,18/08/2018,15:00,Everton,Southampton,2,1,H
E0,18/08/2018,15:00,Leicester,Wolves,2,0,H
E0,18/08/2018,15:00,Tottenham,Fulham,3,1,H
E0,18/08/2018,15:00,West Ham,Bournemouth,1,2,A
E0,18/08/2018,17:30,Chelsea,Arsenal,3,2,H
E0,19/08/2018,13:30,Man City,Huddersfield,6,1,H
E0,19/08/2018,13:30,Burnley,Watford,1,3,A
E0,19/08/2018,16:00,Brighton,Man United,3,2,H
E0,20/08/2018,20:00,Crystal Palace,Liverpool,0,2,A
E0,25/08/2018,12:30,Wolves,Man City,1,1,D
E0,25/08/2018,15:00,Arsenal,West Ham,3,1,H
E0,25/08/2018,15:00,Bournemouth,Everton,2,2,D
E0,25/08/2018,15:00,Huddersfield,Cardiff,0,0,D
E0,25/08/2018,15:00,Southampton,Leicester,1,2,A
E0,25/08/2018,17:30,Liverpool,Brighton,1,0,H
E0,26/08/2018,13:30,Watford,Crystal Palace,2,1,H
E0,26/08/2018,16:00,Fulham,Burnley,4,2,H
E0,26/08/2018,16:00,Newcastle,Chelsea,1,2,A
E0,27/08/2018,20:00,Man United,Tottenham,0,3,A
E0,01/09/2018,12:30,Leicester,Liverpool,1,2,A
E0,01/09/2018,15:00,Brighton,Fulham,2,2,D
E0,01/09/2018,15:00,Chelsea,Bournemouth,2,0,H
E0,01/09/2018,15:00,Crystal Palace,Southampton,0,2,A
E0,01/09/2018,15:00,Everton,Huddersfield,1,1,D
E0,01/09/2018,15:00,West Ham,Wolves,0,1,A
E0,01/09/2018,17:30,Man City,Newcastle,2,1,H
E0,02/09/2018,13:30,Cardiff,Arsenal,2,3,A
E0,02/09/2018,16:00,Burnley,Man United,0,2,A
E0,02/09/2018,16:00,Watford,Tottenham,2,1,H
E0,15/09/2018,12:30,Tottenham,Liverpool,1,2,A
E0,15/09/2018,15:00,Bournemouth,Leicester,4,2,H
E0,15/09/2018,15:00,Chelsea,Cardiff,4,1,H
E0,15/09/2018,15:00,Huddersfield,Crystal Palace,0,1,A
E0,15/09/2018,15:00,Man City,Fulham,3,0,H
E0,15/09/2018,15:00,Newcastle,Arsenal,1,2,A
E0,15/09/2018,17:30,Watford,Man United,1,2,A
E0,16/09/2018,13:30,Wolves,Burnley,1,0,H
E0,16/09/2018,16:00,Everton,West Ham,1,3,A
E0,17/09/2018,20:00,Southampton,Brighton,2,2,D
E0,22/09/2018,12:30,Fulham,Watford,1,1,D
E0,22/09/2018,15:00,Burnley,Bournemouth,4,0,H
E0,22/09/2018,15:00,Cardiff,Man City,0,5,A
E0,22/09/2018,15:00,Crystal Palace,Newcastle,0,0,D
E0,22/09/2018,15:00,Leicester,Huddersfield,3,1,H
E0,22/09/2018,15:00,Man United,Wolves,1,1,D
E0,22/09/2018,15:00,Liverpool,Southampton,3,0,H
E0,22/09/2018,17:30,Brighton,Tottenham,1,2,A
E0,23/09/2018,13:30,West Ham,Chelsea,0,0,D
E0,23/09/2018,16:00,Arsenal,Everton,2,0,H
E0,29/09/2018,12:30,West Ham,Man United,3,1,H
E0,29/09/2018,15:00,Arsenal,Watford,2,0,H
E0,29/09/2018,15:00,Everton,Fulham,3,0,H
E0,29/09/2018,15:00,Huddersfield,Tottenham,0,2,A
E0,29/09/2018,15:00,Man City,Brighton,2,0,H
E0,29/09/2018,15:00,Newcastle,Leicester,0,2,A
E0,29/09/2018,15:00,Wolves,Southampton,2,0,H
E0,29/09/2018,17:30,Chelsea,Liverpool,1,1,D
E0,30/09/2018,16:00,Cardiff,Burnley,1,2,A
E0,01/10/2018,20:00,Bournemouth,Crystal Palace,2,1,H
