game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,overtime,div_game,away_rest,home_rest,away_coach,home_coach,referee,stadium_id,stadium
2017_01_KC_NE,2017,REG,1,2017-09-07,Thursday,20:30,KC,42,NE,27,Home,-15,0,0,7,7,Andy Reid,Bill Belichick,Bill Vinovich,BOS00,Gillette Stadium
2017_01_NYJ_BUF,2017,REG,1,2017-09-10,Sunday,13:00,NYJ,12,BUF,21,Home,9,0,1,7,7,Todd Bowles,Sean McDermott,John Hussey,BUF00,New Era Field
2017_01_ATL_CHI,2017,REG,1,2017-09-10,Sunday,13:00,ATL,23,CHI,17,Home,-6,0,0,7,7,Dan Quinn,John Fox,Jeff Triplette,CHI98,Soldier Field
2017_01_BAL_CIN,2017,REG,1,2017-09-10,Sunday,13:00,BAL,20,CIN,0,Home,-20,0,1,7,7,John Harbaugh,Marvin Lewis,Walt Coleman,CIN00,Paul Brown Stadium
2017_01_PIT_CLE,2017,REG,1,2017-09-10,Sunday,13:00,PIT,21,CLE,18,Home,-3,0,1,7,7,Mike Tomlin,Hue Jackson,Craig Wrolstad,CLE00,FirstEnergy Stadium
2017_01_ARI_DET,2017,REG,1,2017-09-10,Sunday,13:00,ARI,23,DET,35,Home,12,0,0,7,7,Bruce Arians,Jim Caldwell,Walt Anderson,DET00,Ford Field
2017_01_JAX_HOU,2017,REG,1,2017-09-10,Sunday,13:00,JAX,29,HOU,7,Home,-22,0,1,7,7,Doug Marrone,Bill O'Brien,Tony Corrente,HOU00,NRG Stadium
2017_01_OAK_TEN,2017,REG,1,2017-09-10,Sunday,13:00,OAK,26,TEN,16,Home,-10,0,0,7,7,Jack Del Rio,Mike Mularkey,Jerome Boger,NAS00,Nissan Stadium
2017_01_PHI_WAS,2017,REG,1,2017-09-10,Sunday,13:00,PHI,30,WAS,17,Home,-13,0,1,7,7,Doug Pederson,Jay Gruden,Brad Allen,WAS00,FedExField
2017_01_IND_LA,2017,REG,1,2017-09-10,Sunday,16:05,IND,9,LAR,46,Home,37,0,0,7,7,Chuck Pagano,Sean McVay,Ron Torbert,LAX99,Los Angeles Memorial Coliseum
2017_01_SEA_GB,2017,REG,1,2017-09-10,Sunday,16:25,SEA,9,GB,17,Home,8,0,0,7,7,Pete Carroll,Mike McCarthy,John Parry,GNB00,Lambeau Field
2017_01_CAR_SF,2017,REG,1,2017-09-10,Sunday,16:25,CAR,23,SF,3,Home,-20,0,0,7,7,Ron Rivera,Kyle Shanahan,Clete Blakeman,SFO01,Levi's Stadium
2017_01_NYG_DAL,2017,REG,1,2017-09-10,Sunday,20:30,NYG,3,DAL,19,Home,16,0,1,7,7,Ben McAdoo,Jason Garrett,Carl Cheffers,DAL00,AT&T Stadium
2017_01_NO_MIN,2017,REG,1,2017-09-11,Monday,19:10,NO,19,MIN,29,Home,10,0,0,7,7,Sean Payton,Mike Zimmer,Gene Steratore,MIN01,U.S. Bank Stadium
2017_01_LAC_DEN,2017,REG,1,2017-09-11,Monday,22:20,LAC,21,DEN,24,Home,3,0,1,7,7,Anthony Lynn,Vance Joseph,Terry McAulay,DEN00,Sports Authority Field at Mile High
2017_02_HOU_CIN,2017,REG,2,2017-09-14,Thursday,20:25,HOU,13,CIN,9,Home,-4,0,0,4,4,Bill O'Brien,Marvin Lewis,Clete Blakeman,CIN00,Paul Brown Stadium
2017_02_CLE_BAL,2017,REG,2,2017-09-17,Sunday,13:00,CLE,10,BAL,24,Home,14,0,1,7,7,Hue Jackson,John Harbaugh,Gene Steratore,BAL00,M&T Bank Stadium
2017_02_BUF_CAR,2017,REG,2,2017-09-17,Sunday,13:00,BUF,3,CAR,9,Home,6,0,0,7,7,Sean McDermott,Ron Rivera,Walt Coleman,CAR00,Bank of America Stadium
